Nom prestataire,Type,Statut,Notes
Traiteur,Traiteur,Contrat signé,"AJ Traiteur Événementiel – prestations pour le dîner et le vin d'honneur (voir devis n° 173). Acompte de 20 % déjà versé ; 30 % à régler un mois avant, solde à J-15."
Photographe,Photo,Contrat signé,"Jean-Emmanuel Perchet – reportage complet du matin jusqu’à la soirée."
DJ,Musique,Contrat signé,"LightMusic – animation musicale et coordination des temps forts."
Lieu,Lieu,Contrat signé,"Château de Chevillon – lieu du mariage (capacité jusqu'à 200 convives assis, 600 debout)."
Pâtissier,Gâteau,À sélectionner,"Wedding cake sur mesure inspiré du thème nature/Disney."
Fleuriste,Fleurs,À sélectionner,"Composition de l’arche, bouquets, décorations de tables."
Baby-sitter,Service,À sélectionner,"Service d’encadrement des enfants pendant la cérémonie et la soirée."
Photobooth,Animation,À sélectionner,"Cabine photos ou borne interactive à thème enchanté."
Officiant laïque,Cérémonie,À confirmer,"Maître de cérémonie chargé d’animer et de personnaliser le déroulement."
Alliances,Bijoux,À confirmer,"Gemmyo – achat des alliances."
